false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
3885,1,1.0,915.0,10.0,125000.0,-8.0,9.75,2020-02-18 09:10:58.162,2020-02-18T12:10:58.162Z
3886,2,1.0,433.0,10.0,125000.0,-17.0,9.25,2020-02-18 09:10:58.455,2020-02-18T12:10:58.455Z
3887,3,2.0,915.0,10.0,125000.0,-8.0,9.25,2020-02-18 09:11:08.611,2020-02-18T12:11:08.611Z
3888,4,2.0,433.0,10.0,125000.0,-17.0,10.0,2020-02-18 09:11:08.953,2020-02-18T12:11:08.953Z
3889,5,3.0,915.0,10.0,125000.0,-8.0,8.75,2020-02-18 09:11:19.132,2020-02-18T12:11:19.132Z
3890,6,3.0,433.0,10.0,125000.0,-14.0,6.75,2020-02-18 09:11:19.548,2020-02-18T12:11:19.548Z
0,7,4.0,915.0,10.0,125000.0,-7.0,9.0,2020-02-18 09:11:29.617,2020-02-18T12:11:29.617Z
1,8,4.0,433.0,10.0,125000.0,-12.0,9.75,2020-02-18 09:11:30.027,2020-02-18T12:11:30.027Z
2,9,5.0,915.0,10.0,125000.0,-8.0,9.25,2020-02-18 09:11:40.128,2020-02-18T12:11:40.128Z
3,10,5.0,433.0,10.0,125000.0,-13.0,8.75,2020-02-18 09:11:40.494,2020-02-18T12:11:40.494Z
107,11,1.0,915.0,10.0,250000.0,-7.0,9.25,2020-02-18 09:12:31.014,2020-02-18T12:12:31.014Z
108,12,1.0,433.0,10.0,250000.0,-13.0,8.75,2020-02-18 09:12:31.373,2020-02-18T12:12:31.373Z
109,13,2.0,915.0,10.0,250000.0,-7.0,9.0,2020-02-18 09:12:41.555,2020-02-18T12:12:41.555Z
110,14,2.0,433.0,10.0,250000.0,-13.0,9.0,2020-02-18 09:12:42.031,2020-02-18T12:12:42.031Z
111,15,3.0,915.0,10.0,250000.0,-7.0,8.25,2020-02-18 09:12:52.037,2020-02-18T12:12:52.037Z
112,16,3.0,433.0,10.0,250000.0,-13.0,8.75,2020-02-18 09:12:52.409,2020-02-18T12:12:52.409Z
113,17,4.0,915.0,10.0,250000.0,-7.0,8.5,2020-02-18 09:13:02.513,2020-02-18T12:13:02.513Z
114,18,4.0,433.0,10.0,250000.0,-13.0,9.0,2020-02-18 09:13:02.888,2020-02-18T12:13:02.888Z
115,19,5.0,915.0,10.0,250000.0,-8.0,8.5,2020-02-18 09:13:12.989,2020-02-18T12:13:12.989Z
116,20,5.0,433.0,10.0,250000.0,-13.0,8.5,2020-02-18 09:13:13.308,2020-02-18T12:13:13.308Z
214,21,1.0,915.0,10.0,500000.0,-7.0,6.0,2020-02-18 09:14:03.969,2020-02-18T12:14:03.969Z
215,22,1.0,433.0,10.0,500000.0,-11.0,7.25,2020-02-18 09:14:04.281,2020-02-18T12:14:04.281Z
216,23,2.0,915.0,10.0,500000.0,-7.0,6.25,2020-02-18 09:14:14.461,2020-02-18T12:14:14.461Z
217,24,2.0,433.0,10.0,500000.0,-12.0,6.75,2020-02-18 09:14:14.933,2020-02-18T12:14:14.933Z
218,25,3.0,915.0,10.0,500000.0,-7.0,5.5,2020-02-18 09:14:24.969,2020-02-18T12:14:24.969Z
219,26,3.0,433.0,10.0,500000.0,-11.0,7.0,2020-02-18 09:14:25.311,2020-02-18T12:14:25.311Z
220,27,4.0,915.0,10.0,500000.0,-7.0,6.25,2020-02-18 09:14:35.442,2020-02-18T12:14:35.442Z
221,28,4.0,433.0,10.0,500000.0,-10.0,7.25,2020-02-18 09:14:35.772,2020-02-18T12:14:35.772Z
222,29,5.0,915.0,10.0,500000.0,-6.0,6.0,2020-02-18 09:14:45.916,2020-02-18T12:14:45.916Z
223,30,5.0,433.0,10.0,500000.0,-11.0,7.0,2020-02-18 09:14:46.450,2020-02-18T12:14:46.450Z
321,31,1.0,915.0,11.0,125000.0,-8.0,8.5,2020-02-18 09:15:37.385,2020-02-18T12:15:37.385Z
322,32,1.0,433.0,11.0,125000.0,-13.0,9.75,2020-02-18 09:15:37.834,2020-02-18T12:15:37.834Z
323,33,2.0,915.0,11.0,125000.0,-8.0,9.25,2020-02-18 09:15:47.840,2020-02-18T12:15:47.840Z
324,34,2.0,433.0,11.0,125000.0,-12.0,10.0,2020-02-18 09:15:48.215,2020-02-18T12:15:48.215Z
325,35,3.0,915.0,11.0,125000.0,-8.0,9.0,2020-02-18 09:15:58.316,2020-02-18T12:15:58.316Z
326,36,3.0,433.0,11.0,125000.0,-14.0,9.0,2020-02-18 09:15:58.689,2020-02-18T12:15:58.689Z
327,37,4.0,915.0,11.0,125000.0,-8.0,8.75,2020-02-18 09:16:09.155,2020-02-18T12:16:09.155Z
328,38,4.0,433.0,11.0,125000.0,-15.0,8.25,2020-02-18 09:16:09.178,2020-02-18T12:16:09.178Z
329,39,5.0,915.0,11.0,125000.0,-9.0,9.25,2020-02-18 09:16:19.388,2020-02-18T12:16:19.388Z
330,40,5.0,433.0,11.0,125000.0,-14.0,8.25,2020-02-18 09:16:19.798,2020-02-18T12:16:19.798Z
428,41,1.0,915.0,11.0,250000.0,-8.0,8.75,2020-02-18 09:17:10.193,2020-02-18T12:17:10.193Z
429,42,1.0,433.0,11.0,250000.0,-14.0,9.0,2020-02-18 09:17:10.545,2020-02-18T12:17:10.545Z
430,43,2.0,915.0,11.0,250000.0,-7.0,9.25,2020-02-18 09:17:20.626,2020-02-18T12:17:20.626Z
431,44,2.0,433.0,11.0,250000.0,-14.0,9.25,2020-02-18 09:17:21.021,2020-02-18T12:17:21.021Z
432,45,3.0,915.0,11.0,250000.0,-9.0,9.25,2020-02-18 09:17:31.101,2020-02-18T12:17:31.101Z
433,46,3.0,433.0,11.0,250000.0,-12.0,10.25,2020-02-18 09:17:31.495,2020-02-18T12:17:31.495Z
535,47,4.0,915.0,11.0,250000.0,-8.0,9.0,2020-02-18 09:17:41.603,2020-02-18T12:17:41.603Z
536,48,4.0,433.0,11.0,250000.0,-12.0,10.25,2020-02-18 09:17:41.949,2020-02-18T12:17:41.949Z
537,49,5.0,915.0,11.0,250000.0,-8.0,9.0,2020-02-18 09:17:52.157,2020-02-18T12:17:52.157Z
538,50,5.0,433.0,11.0,250000.0,-12.0,10.0,2020-02-18 09:17:52.603,2020-02-18T12:17:52.603Z
642,51,1.0,915.0,11.0,500000.0,-7.0,6.75,2020-02-18 09:18:42.992,2020-02-18T12:18:42.992Z
643,52,1.0,433.0,11.0,500000.0,-15.0,6.5,2020-02-18 09:18:43.482,2020-02-18T12:18:43.482Z
644,53,2.0,915.0,11.0,500000.0,-7.0,6.5,2020-02-18 09:18:53.512,2020-02-18T12:18:53.512Z
645,54,2.0,433.0,11.0,500000.0,-14.0,6.75,2020-02-18 09:18:53.849,2020-02-18T12:18:53.849Z
646,55,3.0,915.0,11.0,500000.0,-7.0,6.25,2020-02-18 09:19:03.981,2020-02-18T12:19:03.981Z
647,56,3.0,433.0,11.0,500000.0,-15.0,6.0,2020-02-18 09:19:04.344,2020-02-18T12:19:04.344Z
648,57,4.0,915.0,11.0,500000.0,-7.0,6.5,2020-02-18 09:19:14.556,2020-02-18T12:19:14.556Z
649,58,4.0,433.0,11.0,500000.0,-15.0,6.0,2020-02-18 09:19:15.022,2020-02-18T12:19:15.022Z
650,59,5.0,915.0,11.0,500000.0,-7.0,6.75,2020-02-18 09:19:25.055,2020-02-18T12:19:25.055Z
651,60,5.0,433.0,11.0,500000.0,-15.0,7.0,2020-02-18 09:19:25.408,2020-02-18T12:19:25.408Z
749,61,1.0,915.0,12.0,125000.0,-8.0,6.5,2020-02-18 09:20:16.777,2020-02-18T12:20:16.777Z
750,62,1.0,433.0,12.0,125000.0,-14.0,6.5,2020-02-18 09:20:17.200,2020-02-18T12:20:17.200Z
751,63,2.0,915.0,12.0,125000.0,-8.0,6.75,2020-02-18 09:20:27.287,2020-02-18T12:20:27.287Z
752,64,2.0,433.0,12.0,125000.0,-15.0,6.0,2020-02-18 09:20:27.575,2020-02-18T12:20:27.575Z
753,65,3.0,915.0,12.0,125000.0,-9.0,6.75,2020-02-18 09:20:37.763,2020-02-18T12:20:37.763Z
754,66,3.0,433.0,12.0,125000.0,-13.0,6.75,2020-02-18 09:20:38.041,2020-02-18T12:20:38.041Z
755,67,4.0,915.0,12.0,125000.0,-8.0,6.5,2020-02-18 09:20:48.246,2020-02-18T12:20:48.246Z
756,68,4.0,433.0,12.0,125000.0,-13.0,7.0,2020-02-18 09:20:48.722,2020-02-18T12:20:48.722Z
757,69,5.0,915.0,12.0,125000.0,-8.0,6.5,2020-02-18 09:20:58.725,2020-02-18T12:20:58.725Z
758,70,5.0,433.0,12.0,125000.0,-13.0,7.25,2020-02-18 09:20:59.200,2020-02-18T12:20:59.200Z
856,71,1.0,915.0,12.0,250000.0,-8.0,8.75,2020-02-18 09:21:49.297,2020-02-18T12:21:49.297Z
857,72,1.0,433.0,12.0,250000.0,-13.0,8.5,2020-02-18 09:21:49.673,2020-02-18T12:21:49.673Z
858,73,2.0,915.0,12.0,250000.0,-8.0,8.75,2020-02-18 09:21:59.859,2020-02-18T12:21:59.859Z
859,74,2.0,433.0,12.0,250000.0,-14.0,7.0,2020-02-18 09:22:00.149,2020-02-18T12:22:00.149Z
860,75,3.0,915.0,12.0,250000.0,-8.0,8.75,2020-02-18 09:22:10.308,2020-02-18T12:22:10.308Z
861,76,3.0,433.0,12.0,250000.0,-15.0,6.0,2020-02-18 09:22:10.808,2020-02-18T12:22:10.808Z
862,77,4.0,915.0,12.0,250000.0,-8.0,9.25,2020-02-18 09:22:20.853,2020-02-18T12:22:20.853Z
863,78,4.0,433.0,12.0,250000.0,-14.0,7.0,2020-02-18 09:22:21.286,2020-02-18T12:22:21.286Z
864,79,5.0,915.0,12.0,250000.0,-9.0,9.0,2020-02-18 09:22:31.334,2020-02-18T12:22:31.334Z
865,80,5.0,433.0,12.0,250000.0,-15.0,5.75,2020-02-18 09:22:31.702,2020-02-18T12:22:31.702Z
963,81,1.0,915.0,12.0,500000.0,-7.0,6.5,2020-02-18 09:23:22.108,2020-02-18T12:23:22.108Z
964,82,1.0,433.0,12.0,500000.0,-15.0,5.25,2020-02-18 09:23:22.451,2020-02-18T12:23:22.451Z
965,83,2.0,915.0,12.0,500000.0,-7.0,6.25,2020-02-18 09:23:32.656,2020-02-18T12:23:32.656Z
966,84,2.0,433.0,12.0,500000.0,-13.0,5.5,2020-02-18 09:23:32.914,2020-02-18T12:23:32.914Z
967,85,3.0,915.0,12.0,500000.0,-7.0,6.75,2020-02-18 09:23:43.087,2020-02-18T12:23:43.087Z
968,86,3.0,433.0,12.0,500000.0,-15.0,5.0,2020-02-18 09:23:43.573,2020-02-18T12:23:43.573Z
969,87,4.0,915.0,12.0,500000.0,-7.0,6.25,2020-02-18 09:23:53.669,2020-02-18T12:23:53.669Z
970,88,4.0,433.0,12.0,500000.0,-15.0,5.5,2020-02-18 09:23:54.035,2020-02-18T12:23:54.035Z
971,89,5.0,915.0,12.0,500000.0,-7.0,5.75,2020-02-18 09:24:04.145,2020-02-18T12:24:04.145Z
972,90,5.0,433.0,12.0,500000.0,-14.0,5.0,2020-02-18 09:24:04.490,2020-02-18T12:24:04.490Z
1070,91,1.0,915.0,10.0,125000.0,-7.0,9.75,2020-02-18 09:24:55.125,2020-02-18T12:24:55.125Z
1177,92,1.0,915.0,10.0,125000.0,-7.0,9.5,2020-02-18 09:25:05.743,2020-02-18T12:25:05.743Z
1178,93,1.0,433.0,10.0,125000.0,-13.0,8.5,2020-02-18 09:25:06.165,2020-02-18T12:25:06.165Z
1179,94,2.0,915.0,10.0,125000.0,-7.0,9.25,2020-02-18 09:25:16.166,2020-02-18T12:25:16.166Z
1180,95,2.0,433.0,10.0,125000.0,-14.0,8.5,2020-02-18 09:25:16.695,2020-02-18T12:25:16.695Z
1181,96,3.0,915.0,10.0,125000.0,-6.0,9.75,2020-02-18 09:25:26.749,2020-02-18T12:25:26.749Z
1182,97,3.0,433.0,10.0,125000.0,-13.0,6.5,2020-02-18 09:25:27.076,2020-02-18T12:25:27.076Z
1183,98,4.0,915.0,10.0,125000.0,-7.0,9.25,2020-02-18 09:25:37.230,2020-02-18T12:25:37.230Z
1184,99,4.0,433.0,10.0,125000.0,-14.0,8.0,2020-02-18 09:25:37.549,2020-02-18T12:25:37.549Z
1185,100,5.0,915.0,10.0,125000.0,-7.0,9.0,2020-02-18 09:25:47.706,2020-02-18T12:25:47.706Z
1186,101,5.0,433.0,10.0,125000.0,-14.0,9.5,2020-02-18 09:25:48.031,2020-02-18T12:25:48.031Z
1284,102,1.0,915.0,10.0,250000.0,-7.0,9.0,2020-02-18 09:26:38.593,2020-02-18T12:26:38.593Z
1285,103,1.0,433.0,10.0,250000.0,-13.0,8.5,2020-02-18 09:26:38.907,2020-02-18T12:26:38.907Z
1286,104,2.0,915.0,10.0,250000.0,-6.0,9.25,2020-02-18 09:26:49.147,2020-02-18T12:26:49.147Z
1287,105,2.0,433.0,10.0,250000.0,-14.0,10.5,2020-02-18 09:26:49.576,2020-02-18T12:26:49.576Z
1288,106,3.0,915.0,10.0,250000.0,-6.0,9.0,2020-02-18 09:26:59.589,2020-02-18T12:26:59.589Z
1289,107,3.0,433.0,10.0,250000.0,-13.0,8.25,2020-02-18 09:27:00.038,2020-02-18T12:27:00.038Z
1290,108,4.0,915.0,10.0,250000.0,-6.0,9.5,2020-02-18 09:27:10.135,2020-02-18T12:27:10.135Z
1291,109,4.0,433.0,10.0,250000.0,-14.0,9.5,2020-02-18 09:27:10.453,2020-02-18T12:27:10.453Z
1292,110,5.0,915.0,10.0,250000.0,-7.0,9.75,2020-02-18 09:27:20.626,2020-02-18T12:27:20.626Z
1293,111,5.0,433.0,10.0,250000.0,-13.0,9.5,2020-02-18 09:27:21.038,2020-02-18T12:27:21.038Z
1391,112,1.0,915.0,10.0,500000.0,-6.0,6.75,2020-02-18 09:28:11.499,2020-02-18T12:28:11.499Z
1392,113,1.0,433.0,10.0,500000.0,-13.0,6.75,2020-02-18 09:28:12.019,2020-02-18T12:28:12.019Z
1393,114,2.0,915.0,10.0,500000.0,-6.0,6.5,2020-02-18 09:28:22.021,2020-02-18T12:28:22.021Z
1394,115,2.0,433.0,10.0,500000.0,-14.0,6.75,2020-02-18 09:28:22.503,2020-02-18T12:28:22.503Z
1395,116,3.0,915.0,10.0,500000.0,-6.0,6.0,2020-02-18 09:28:32.502,2020-02-18T12:28:32.502Z
1396,117,3.0,433.0,10.0,500000.0,-13.0,7.0,2020-02-18 09:28:32.883,2020-02-18T12:28:32.883Z
1397,118,4.0,915.0,10.0,500000.0,-6.0,6.25,2020-02-18 09:28:43.017,2020-02-18T12:28:43.017Z
1398,119,4.0,433.0,10.0,500000.0,-13.0,6.75,2020-02-18 09:28:43.345,2020-02-18T12:28:43.345Z
1399,120,5.0,915.0,10.0,500000.0,-6.0,6.5,2020-02-18 09:28:53.599,2020-02-18T12:28:53.599Z
1400,121,5.0,433.0,10.0,500000.0,-14.0,6.5,2020-02-18 09:28:54.012,2020-02-18T12:28:54.012Z
1498,122,1.0,915.0,11.0,125000.0,-8.0,9.0,2020-02-18 09:29:44.963,2020-02-18T12:29:44.963Z
1499,123,1.0,433.0,11.0,125000.0,-15.0,6.25,2020-02-18 09:29:45.392,2020-02-18T12:29:45.392Z
1500,124,2.0,915.0,11.0,125000.0,-8.0,9.25,2020-02-18 09:29:55.422,2020-02-18T12:29:55.422Z
1501,125,2.0,433.0,11.0,125000.0,-15.0,6.0,2020-02-18 09:29:55.853,2020-02-18T12:29:55.853Z
1502,126,3.0,915.0,11.0,125000.0,-8.0,9.0,2020-02-18 09:30:05.893,2020-02-18T12:30:05.893Z
1503,127,3.0,433.0,11.0,125000.0,-60.0,6.0,2020-02-18 09:30:06.204,2020-02-18T12:30:06.204Z
1605,128,4.0,915.0,11.0,125000.0,-8.0,8.75,2020-02-18 09:30:16.468,2020-02-18T12:30:16.468Z
