false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
3886,2,1,433,10,125000,-17,9.25,10:58.5,2020-02-18T12:10:58.455Z
3888,4,2,433,10,125000,-17,10,11:09.0,2020-02-18T12:11:08.953Z
3890,6,3,433,10,125000,-14,6.75,11:19.5,2020-02-18T12:11:19.548Z
1,8,4,433,10,125000,-12,9.75,11:30.0,2020-02-18T12:11:30.027Z
3,10,5,433,10,125000,-13,8.75,11:40.5,2020-02-18T12:11:40.494Z
108,12,1,433,10,250000,-13,8.75,12:31.4,2020-02-18T12:12:31.373Z
110,14,2,433,10,250000,-13,9,12:42.0,2020-02-18T12:12:42.031Z
112,16,3,433,10,250000,-13,8.75,12:52.4,2020-02-18T12:12:52.409Z
114,18,4,433,10,250000,-13,9,13:02.9,2020-02-18T12:13:02.888Z
116,20,5,433,10,250000,-13,8.5,13:13.3,2020-02-18T12:13:13.308Z
215,22,1,433,10,500000,-11,7.25,14:04.3,2020-02-18T12:14:04.281Z
217,24,2,433,10,500000,-12,6.75,14:14.9,2020-02-18T12:14:14.933Z
219,26,3,433,10,500000,-11,7,14:25.3,2020-02-18T12:14:25.311Z
221,28,4,433,10,500000,-10,7.25,14:35.8,2020-02-18T12:14:35.772Z
223,30,5,433,10,500000,-11,7,14:46.4,2020-02-18T12:14:46.450Z
322,32,1,433,11,125000,-13,9.75,15:37.8,2020-02-18T12:15:37.834Z
324,34,2,433,11,125000,-12,10,15:48.2,2020-02-18T12:15:48.215Z
326,36,3,433,11,125000,-14,9,15:58.7,2020-02-18T12:15:58.689Z
328,38,4,433,11,125000,-15,8.25,16:09.2,2020-02-18T12:16:09.178Z
330,40,5,433,11,125000,-14,8.25,16:19.8,2020-02-18T12:16:19.798Z
429,42,1,433,11,250000,-14,9,17:10.5,2020-02-18T12:17:10.545Z
431,44,2,433,11,250000,-14,9.25,17:21.0,2020-02-18T12:17:21.021Z
433,46,3,433,11,250000,-12,10.25,17:31.5,2020-02-18T12:17:31.495Z
536,48,4,433,11,250000,-12,10.25,17:41.9,2020-02-18T12:17:41.949Z
538,50,5,433,11,250000,-12,10,17:52.6,2020-02-18T12:17:52.603Z
643,52,1,433,11,500000,-15,6.5,18:43.5,2020-02-18T12:18:43.482Z
645,54,2,433,11,500000,-14,6.75,18:53.8,2020-02-18T12:18:53.849Z
647,56,3,433,11,500000,-15,6,19:04.3,2020-02-18T12:19:04.344Z
649,58,4,433,11,500000,-15,6,19:15.0,2020-02-18T12:19:15.022Z
651,60,5,433,11,500000,-15,7,19:25.4,2020-02-18T12:19:25.408Z
750,62,1,433,12,125000,-14,6.5,20:17.2,2020-02-18T12:20:17.200Z
752,64,2,433,12,125000,-15,6,20:27.6,2020-02-18T12:20:27.575Z
754,66,3,433,12,125000,-13,6.75,20:38.0,2020-02-18T12:20:38.041Z
756,68,4,433,12,125000,-13,7,20:48.7,2020-02-18T12:20:48.722Z
758,70,5,433,12,125000,-13,7.25,20:59.2,2020-02-18T12:20:59.200Z
857,72,1,433,12,250000,-13,8.5,21:49.7,2020-02-18T12:21:49.673Z
859,74,2,433,12,250000,-14,7,22:00.1,2020-02-18T12:22:00.149Z
861,76,3,433,12,250000,-15,6,22:10.8,2020-02-18T12:22:10.808Z
863,78,4,433,12,250000,-14,7,22:21.3,2020-02-18T12:22:21.286Z
865,80,5,433,12,250000,-15,5.75,22:31.7,2020-02-18T12:22:31.702Z
964,82,1,433,12,500000,-15,5.25,23:22.5,2020-02-18T12:23:22.451Z
966,84,2,433,12,500000,-13,5.5,23:32.9,2020-02-18T12:23:32.914Z
968,86,3,433,12,500000,-15,5,23:43.6,2020-02-18T12:23:43.573Z
970,88,4,433,12,500000,-15,5.5,23:54.0,2020-02-18T12:23:54.035Z
972,90,5,433,12,500000,-14,5,24:04.5,2020-02-18T12:24:04.490Z
1178,93,1,433,10,125000,-13,8.5,25:06.2,2020-02-18T12:25:06.165Z
1180,95,2,433,10,125000,-14,8.5,25:16.7,2020-02-18T12:25:16.695Z
1182,97,3,433,10,125000,-13,6.5,25:27.1,2020-02-18T12:25:27.076Z
1184,99,4,433,10,125000,-14,8,25:37.5,2020-02-18T12:25:37.549Z
1186,101,5,433,10,125000,-14,9.5,25:48.0,2020-02-18T12:25:48.031Z
1285,103,1,433,10,250000,-13,8.5,26:38.9,2020-02-18T12:26:38.907Z
1287,105,2,433,10,250000,-14,10.5,26:49.6,2020-02-18T12:26:49.576Z
1289,107,3,433,10,250000,-13,8.25,27:00.0,2020-02-18T12:27:00.038Z
1291,109,4,433,10,250000,-14,9.5,27:10.5,2020-02-18T12:27:10.453Z
1293,111,5,433,10,250000,-13,9.5,27:21.0,2020-02-18T12:27:21.038Z
1392,113,1,433,10,500000,-13,6.75,28:12.0,2020-02-18T12:28:12.019Z
1394,115,2,433,10,500000,-14,6.75,28:22.5,2020-02-18T12:28:22.503Z
1396,117,3,433,10,500000,-13,7,28:32.9,2020-02-18T12:28:32.883Z
1398,119,4,433,10,500000,-13,6.75,28:43.3,2020-02-18T12:28:43.345Z
1400,121,5,433,10,500000,-14,6.5,28:54.0,2020-02-18T12:28:54.012Z
1499,123,1,433,11,125000,-15,6.25,29:45.4,2020-02-18T12:29:45.392Z
1501,125,2,433,11,125000,-15,6,29:55.9,2020-02-18T12:29:55.853Z
1503,127,3,433,11,125000,-60,6,30:06.2,2020-02-18T12:30:06.204Z
1606,129,4,433,11,125000,-15,6,30:16.7,2020-02-18T12:30:16.724Z
1608,131,5,433,11,125000,-16,6,30:27.4,2020-02-18T12:30:27.383Z
1713,133,1,433,11,250000,-15,8.5,31:18.1,2020-02-18T12:31:18.149Z
1715,135,2,433,11,250000,-16,7.75,31:28.6,2020-02-18T12:31:28.620Z
1717,137,3,433,11,250000,-15,8.75,31:39.0,2020-02-18T12:31:38.998Z
1719,139,4,433,11,250000,-14,9.25,31:49.7,2020-02-18T12:31:49.677Z
1721,141,5,433,11,250000,-14,9.25,32:00.2,2020-02-18T12:32:00.157Z
1820,143,1,433,11,500000,-14,6,32:51.0,2020-02-18T12:32:51.015Z
1822,145,2,433,11,500000,-15,6.25,33:01.5,2020-02-18T12:33:01.476Z
1824,147,3,433,11,500000,-15,5.75,33:11.9,2020-02-18T12:33:11.854Z
1826,149,4,433,11,500000,-14,6,33:22.5,2020-02-18T12:33:22.538Z
1828,151,5,433,11,500000,-14,6.5,33:33.0,2020-02-18T12:33:33.011Z
1927,153,1,433,12,125000,-16,3.5,34:24.7,2020-02-18T12:34:24.669Z
1929,155,2,433,12,125000,-14,3.25,34:35.1,2020-02-18T12:34:35.136Z
1931,157,3,433,12,125000,-14,3.75,34:45.6,2020-02-18T12:34:45.609Z
1933,159,4,433,12,125000,-15,3.5,34:56.2,2020-02-18T12:34:56.171Z
1935,161,5,433,12,125000,-16,4,35:07.0,2020-02-18T12:35:06.975Z
2034,163,1,433,12,250000,-15,5.5,35:57.2,2020-02-18T12:35:57.187Z
2036,165,2,433,12,250000,-15,6,36:07.8,2020-02-18T12:36:07.795Z
2141,167,3,433,12,250000,-15,5.75,36:18.3,2020-02-18T12:36:18.305Z
2143,169,4,433,12,250000,-15,6,36:28.8,2020-02-18T12:36:28.752Z
2145,171,5,433,12,250000,-15,6,36:39.1,2020-02-18T12:36:39.122Z
2248,173,1,433,12,500000,-15,5.25,37:29.9,2020-02-18T12:37:29.878Z
2250,175,2,433,12,500000,-14,6,37:40.4,2020-02-18T12:37:40.353Z
2252,177,3,433,12,500000,-14,5.25,37:51.0,2020-02-18T12:37:51.031Z
2254,179,4,433,12,500000,-15,5,38:01.5,2020-02-18T12:38:01.508Z
2256,181,5,433,12,500000,-15,4.5,38:11.9,2020-02-18T12:38:11.930Z
2355,183,1,433,10,125000,-14,8.25,39:03.0,2020-02-18T12:39:02.962Z
2357,185,2,433,10,125000,-14,7.5,39:13.4,2020-02-18T12:39:13.433Z
2359,187,3,433,10,125000,-14,8.5,39:23.9,2020-02-18T12:39:23.882Z
2462,189,4,433,10,125000,-14,6.25,39:34.5,2020-02-18T12:39:34.525Z
2464,191,5,433,10,125000,-15,8.5,39:45.0,2020-02-18T12:39:44.988Z
2569,193,1,433,10,250000,-13,10,40:35.9,2020-02-18T12:40:35.867Z
2571,195,2,433,10,250000,-13,10,40:46.3,2020-02-18T12:40:46.332Z
2573,197,3,433,10,250000,-14,8.5,40:56.7,2020-02-18T12:40:56.689Z
2676,199,4,433,10,250000,-14,9.25,41:07.6,2020-02-18T12:41:07.619Z
2678,201,5,433,10,250000,-13,9.75,41:17.9,2020-02-18T12:41:17.851Z
2783,203,1,433,10,500000,-13,7.25,42:09.1,2020-02-18T12:42:09.137Z
2785,205,2,433,10,500000,-13,6.75,42:19.2,2020-02-18T12:42:19.183Z
2787,207,3,433,10,500000,-13,6.75,42:29.7,2020-02-18T12:42:29.659Z
2789,209,4,433,10,500000,-13,6.25,42:40.2,2020-02-18T12:42:40.238Z
2791,211,5,433,10,500000,-13,6.5,42:50.7,2020-02-18T12:42:50.720Z
2890,213,1,433,11,125000,-15,5.5,43:42.1,2020-02-18T12:43:42.070Z
2892,215,2,433,11,125000,-14,5.75,43:52.5,2020-02-18T12:43:52.545Z
2894,217,3,433,11,125000,-15,5.75,44:03.2,2020-02-18T12:44:03.189Z
2896,219,4,433,11,125000,-14,5.5,44:13.6,2020-02-18T12:44:13.562Z
2898,221,5,433,11,125000,-15,5.5,44:24.1,2020-02-18T12:44:24.078Z
2997,223,1,433,11,250000,-15,9,45:14.8,2020-02-18T12:45:14.848Z
2999,225,2,433,11,250000,-15,9,45:25.3,2020-02-18T12:45:25.307Z
3001,227,3,433,11,250000,-15,9,45:35.9,2020-02-18T12:45:35.886Z
3003,229,4,433,11,250000,-14,9,45:46.4,2020-02-18T12:45:46.397Z
3005,231,5,433,11,250000,-14,9.5,45:56.8,2020-02-18T12:45:56.787Z
3104,233,1,433,11,500000,-15,6.5,46:47.7,2020-02-18T12:46:47.667Z
3106,235,2,433,11,500000,-15,5.75,46:58.1,2020-02-18T12:46:58.120Z
3317,237,3,433,11,500000,-15,6,47:08.8,2020-02-18T12:47:08.845Z
3319,239,4,433,11,500000,-15,6.5,47:19.3,2020-02-18T12:47:19.267Z
3321,241,5,433,11,500000,-15,5.75,47:29.6,2020-02-18T12:47:29.639Z
3425,243,1,433,12,125000,-15,3.5,48:21.4,2020-02-18T12:48:21.407Z
3427,245,2,433,12,125000,-14,4,48:32.1,2020-02-18T12:48:32.058Z
3429,247,3,433,12,125000,-15,4,48:42.5,2020-02-18T12:48:42.508Z
3532,249,4,433,12,125000,-16,3.5,48:53.0,2020-02-18T12:48:52.964Z
3534,251,5,433,12,125000,-15,3.75,49:03.4,2020-02-18T12:49:03.437Z
3639,253,1,433,12,250000,-15,6.25,49:54.1,2020-02-18T12:49:54.109Z
3641,255,2,433,12,250000,-15,6.5,50:04.6,2020-02-18T12:50:04.589Z
3643,257,3,433,12,250000,-15,6,50:15.0,2020-02-18T12:50:15.037Z
3645,259,4,433,12,250000,-15,6,50:25.5,2020-02-18T12:50:25.496Z
3746,261,5,433,12,250000,-15,5.5,50:36.2,2020-02-18T12:50:36.178Z
3853,263,1,433,12,500000,-14,5.25,51:27.0,2020-02-18T12:51:26.952Z
3855,265,2,433,12,500000,-14,5,51:37.4,2020-02-18T12:51:37.419Z
3857,267,3,433,12,500000,-14,5,51:47.9,2020-02-18T12:51:47.851Z
3859,269,4,433,12,500000,-14,5.75,51:58.2,2020-02-18T12:51:58.218Z
3861,271,5,433,12,500000,-14,5,52:09.2,2020-02-18T12:52:09.169Z
5,273,1,433,10,125000,-14,8.5,52:59.9,2020-02-18T12:52:59.915Z
7,275,2,433,10,125000,-14,8.5,53:10.3,2020-02-18T12:53:10.273Z
9,277,3,433,10,125000,-15,9.25,53:20.9,2020-02-18T12:53:20.931Z
11,279,4,433,10,125000,-14,9,53:31.4,2020-02-18T12:53:31.403Z
13,281,5,433,10,125000,-14,9.75,53:41.8,2020-02-18T12:53:41.771Z
118,283,1,433,10,250000,-13,10,54:32.7,2020-02-18T12:54:32.735Z
120,285,2,433,10,250000,-13,10.75,54:43.3,2020-02-18T12:54:43.321Z
122,287,3,433,10,250000,-13,9,54:53.8,2020-02-18T12:54:53.799Z
124,289,4,433,10,250000,-13,9,55:04.3,2020-02-18T12:55:04.260Z
126,291,5,433,10,250000,-14,9.75,55:14.7,2020-02-18T12:55:14.722Z
225,293,1,433,10,500000,-12,6.5,56:05.6,2020-02-18T12:56:05.578Z
227,295,2,433,10,500000,-13,7,56:16.3,2020-02-18T12:56:16.282Z
229,297,3,433,10,500000,-13,6,56:26.8,2020-02-18T12:56:26.761Z
231,299,4,433,10,500000,-13,6.5,56:37.1,2020-02-18T12:56:37.144Z
233,301,5,433,10,500000,-13,6.25,56:47.6,2020-02-18T12:56:47.619Z
332,303,1,433,11,125000,-15,7.75,57:39.2,2020-02-18T12:57:39.176Z
334,305,2,433,11,125000,-15,8.25,57:49.6,2020-02-18T12:57:49.638Z
336,307,3,433,11,125000,-15,8.75,58:00.1,2020-02-18T12:58:00.116Z
338,309,4,433,11,125000,-15,8,58:10.6,2020-02-18T12:58:10.562Z
340,311,5,433,11,125000,-15,8.75,58:21.2,2020-02-18T12:58:21.211Z
435,313,1,433,11,250000,-15,7.75,59:12.0,2020-02-18T12:59:11.976Z
437,315,2,433,11,250000,-14,8,59:22.5,2020-02-18T12:59:22.453Z
439,317,3,433,11,250000,-15,9.5,59:32.8,2020-02-18T12:59:32.830Z
441,319,4,433,11,250000,-14,8.25,59:43.3,2020-02-18T12:59:43.302Z
443,321,5,433,11,250000,-15,8.5,59:54.0,2020-02-18T12:59:53.986Z
540,323,1,433,11,500000,-14,5.5,00:44.8,2020-02-18T13:00:44.844Z
542,325,2,433,11,500000,-14,6,00:55.3,2020-02-18T13:00:55.295Z
544,327,3,433,11,500000,-14,5.25,01:05.8,2020-02-18T13:01:05.772Z
546,329,4,433,11,500000,-14,5,01:16.3,2020-02-18T13:01:16.349Z
548,331,5,433,11,500000,-14,6,01:26.8,2020-02-18T13:01:26.842Z
653,333,1,433,12,125000,-15,6.25,02:18.5,2020-02-18T13:02:18.519Z
655,335,2,433,12,125000,-15,5.75,02:29.0,2020-02-18T13:02:28.969Z
657,337,3,433,12,125000,-15,6.5,02:39.5,2020-02-18T13:02:39.461Z
760,339,4,433,12,125000,-15,6.25,02:50.1,2020-02-18T13:02:50.143Z
762,341,5,433,12,125000,-15,5.5,03:00.5,2020-02-18T13:03:00.512Z
867,343,1,433,12,250000,-14,7.5,03:51.1,2020-02-18T13:03:51.086Z
