false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
3886,2,1,433,10,125000,-17,9.25,10:58.5,2020-02-18T12:10:58.455Z
3888,4,2,433,10,125000,-17,10.0,11:09.0,2020-02-18T12:11:08.953Z
3890,6,3,433,10,125000,-14,6.75,11:19.5,2020-02-18T12:11:19.548Z
1,8,4,433,10,125000,-12,9.75,11:30.0,2020-02-18T12:11:30.027Z
3,10,5,433,10,125000,-13,8.75,11:40.5,2020-02-18T12:11:40.494Z
1178,93,1,433,10,125000,-13,8.5,25:06.2,2020-02-18T12:25:06.165Z
1180,95,2,433,10,125000,-14,8.5,25:16.7,2020-02-18T12:25:16.695Z
1182,97,3,433,10,125000,-13,6.5,25:27.1,2020-02-18T12:25:27.076Z
1184,99,4,433,10,125000,-14,8.0,25:37.5,2020-02-18T12:25:37.549Z
1186,101,5,433,10,125000,-14,9.5,25:48.0,2020-02-18T12:25:48.031Z
2355,183,1,433,10,125000,-14,8.25,39:03.0,2020-02-18T12:39:02.962Z
2357,185,2,433,10,125000,-14,7.5,39:13.4,2020-02-18T12:39:13.433Z
2359,187,3,433,10,125000,-14,8.5,39:23.9,2020-02-18T12:39:23.882Z
2462,189,4,433,10,125000,-14,6.25,39:34.5,2020-02-18T12:39:34.525Z
2464,191,5,433,10,125000,-15,8.5,39:45.0,2020-02-18T12:39:44.988Z
5,273,1,433,10,125000,-14,8.5,52:59.9,2020-02-18T12:52:59.915Z
7,275,2,433,10,125000,-14,8.5,53:10.3,2020-02-18T12:53:10.273Z
9,277,3,433,10,125000,-15,9.25,53:20.9,2020-02-18T12:53:20.931Z
11,279,4,433,10,125000,-14,9.0,53:31.4,2020-02-18T12:53:31.403Z
13,281,5,433,10,125000,-14,9.75,53:41.8,2020-02-18T12:53:41.771Z
1072,363,1,433,10,125000,-13,9.25,06:56.9,2020-02-18T13:06:56.913Z
1074,365,2,433,10,125000,-14,8.75,07:07.5,2020-02-18T13:07:07.454Z
