false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
3885,1,1,915,10,125000,-8,9.75,10:58.2,2020-02-18T12:10:58.162Z
3887,3,2,915,10,125000,-8,9.25,11:08.6,2020-02-18T12:11:08.611Z
3889,5,3,915,10,125000,-8,8.75,11:19.1,2020-02-18T12:11:19.132Z
0,7,4,915,10,125000,-7,9,11:29.6,2020-02-18T12:11:29.617Z
2,9,5,915,10,125000,-8,9.25,11:40.1,2020-02-18T12:11:40.128Z
107,11,1,915,10,250000,-7,9.25,12:31.0,2020-02-18T12:12:31.014Z
109,13,2,915,10,250000,-7,9,12:41.6,2020-02-18T12:12:41.555Z
111,15,3,915,10,250000,-7,8.25,12:52.0,2020-02-18T12:12:52.037Z
113,17,4,915,10,250000,-7,8.5,13:02.5,2020-02-18T12:13:02.513Z
115,19,5,915,10,250000,-8,8.5,13:13.0,2020-02-18T12:13:12.989Z
214,21,1,915,10,500000,-7,6,14:04.0,2020-02-18T12:14:03.969Z
216,23,2,915,10,500000,-7,6.25,14:14.5,2020-02-18T12:14:14.461Z
218,25,3,915,10,500000,-7,5.5,14:25.0,2020-02-18T12:14:24.969Z
220,27,4,915,10,500000,-7,6.25,14:35.4,2020-02-18T12:14:35.442Z
222,29,5,915,10,500000,-6,6,14:45.9,2020-02-18T12:14:45.916Z
321,31,1,915,11,125000,-8,8.5,15:37.4,2020-02-18T12:15:37.385Z
323,33,2,915,11,125000,-8,9.25,15:47.8,2020-02-18T12:15:47.840Z
325,35,3,915,11,125000,-8,9,15:58.3,2020-02-18T12:15:58.316Z
327,37,4,915,11,125000,-8,8.75,16:09.2,2020-02-18T12:16:09.155Z
329,39,5,915,11,125000,-9,9.25,16:19.4,2020-02-18T12:16:19.388Z
428,41,1,915,11,250000,-8,8.75,17:10.2,2020-02-18T12:17:10.193Z
430,43,2,915,11,250000,-7,9.25,17:20.6,2020-02-18T12:17:20.626Z
432,45,3,915,11,250000,-9,9.25,17:31.1,2020-02-18T12:17:31.101Z
535,47,4,915,11,250000,-8,9,17:41.6,2020-02-18T12:17:41.603Z
537,49,5,915,11,250000,-8,9,17:52.2,2020-02-18T12:17:52.157Z
642,51,1,915,11,500000,-7,6.75,18:43.0,2020-02-18T12:18:42.992Z
644,53,2,915,11,500000,-7,6.5,18:53.5,2020-02-18T12:18:53.512Z
646,55,3,915,11,500000,-7,6.25,19:04.0,2020-02-18T12:19:03.981Z
648,57,4,915,11,500000,-7,6.5,19:14.6,2020-02-18T12:19:14.556Z
650,59,5,915,11,500000,-7,6.75,19:25.1,2020-02-18T12:19:25.055Z
749,61,1,915,12,125000,-8,6.5,20:16.8,2020-02-18T12:20:16.777Z
751,63,2,915,12,125000,-8,6.75,20:27.3,2020-02-18T12:20:27.287Z
753,65,3,915,12,125000,-9,6.75,20:37.8,2020-02-18T12:20:37.763Z
755,67,4,915,12,125000,-8,6.5,20:48.2,2020-02-18T12:20:48.246Z
757,69,5,915,12,125000,-8,6.5,20:58.7,2020-02-18T12:20:58.725Z
856,71,1,915,12,250000,-8,8.75,21:49.3,2020-02-18T12:21:49.297Z
858,73,2,915,12,250000,-8,8.75,21:59.9,2020-02-18T12:21:59.859Z
860,75,3,915,12,250000,-8,8.75,22:10.3,2020-02-18T12:22:10.308Z
862,77,4,915,12,250000,-8,9.25,22:20.9,2020-02-18T12:22:20.853Z
864,79,5,915,12,250000,-9,9,22:31.3,2020-02-18T12:22:31.334Z
963,81,1,915,12,500000,-7,6.5,23:22.1,2020-02-18T12:23:22.108Z
965,83,2,915,12,500000,-7,6.25,23:32.7,2020-02-18T12:23:32.656Z
967,85,3,915,12,500000,-7,6.75,23:43.1,2020-02-18T12:23:43.087Z
969,87,4,915,12,500000,-7,6.25,23:53.7,2020-02-18T12:23:53.669Z
971,89,5,915,12,500000,-7,5.75,24:04.1,2020-02-18T12:24:04.145Z
1070,91,1,915,10,125000,-7,9.75,24:55.1,2020-02-18T12:24:55.125Z
1177,92,1,915,10,125000,-7,9.5,25:05.7,2020-02-18T12:25:05.743Z
1179,94,2,915,10,125000,-7,9.25,25:16.2,2020-02-18T12:25:16.166Z
1181,96,3,915,10,125000,-6,9.75,25:26.7,2020-02-18T12:25:26.749Z
1183,98,4,915,10,125000,-7,9.25,25:37.2,2020-02-18T12:25:37.230Z
1185,100,5,915,10,125000,-7,9,25:47.7,2020-02-18T12:25:47.706Z
1284,102,1,915,10,250000,-7,9,26:38.6,2020-02-18T12:26:38.593Z
1286,104,2,915,10,250000,-6,9.25,26:49.1,2020-02-18T12:26:49.147Z
1288,106,3,915,10,250000,-6,9,26:59.6,2020-02-18T12:26:59.589Z
1290,108,4,915,10,250000,-6,9.5,27:10.1,2020-02-18T12:27:10.135Z
1292,110,5,915,10,250000,-7,9.75,27:20.6,2020-02-18T12:27:20.626Z
1391,112,1,915,10,500000,-6,6.75,28:11.5,2020-02-18T12:28:11.499Z
1393,114,2,915,10,500000,-6,6.5,28:22.0,2020-02-18T12:28:22.021Z
1395,116,3,915,10,500000,-6,6,28:32.5,2020-02-18T12:28:32.502Z
1397,118,4,915,10,500000,-6,6.25,28:43.0,2020-02-18T12:28:43.017Z
1399,120,5,915,10,500000,-6,6.5,28:53.6,2020-02-18T12:28:53.599Z
1498,122,1,915,11,125000,-8,9,29:45.0,2020-02-18T12:29:44.963Z
1500,124,2,915,11,125000,-8,9.25,29:55.4,2020-02-18T12:29:55.422Z
1502,126,3,915,11,125000,-8,9,30:05.9,2020-02-18T12:30:05.893Z
1605,128,4,915,11,125000,-8,8.75,30:16.5,2020-02-18T12:30:16.468Z
1607,130,5,915,11,125000,-8,9.25,30:26.9,2020-02-18T12:30:26.948Z
1712,132,1,915,11,250000,-7,9,31:17.7,2020-02-18T12:31:17.730Z
1714,134,2,915,11,250000,-8,9.25,31:28.2,2020-02-18T12:31:28.187Z
1716,136,3,915,11,250000,-8,9.75,31:38.7,2020-02-18T12:31:38.656Z
1718,138,4,915,11,250000,-8,9.5,31:49.2,2020-02-18T12:31:49.226Z
1720,140,5,915,11,250000,-8,9.25,31:59.7,2020-02-18T12:31:59.719Z
1819,142,1,915,11,500000,-7,6.25,32:50.6,2020-02-18T12:32:50.572Z
1821,144,2,915,11,500000,-7,6.5,33:01.1,2020-02-18T12:33:01.067Z
1823,146,3,915,11,500000,-6,6.75,33:11.6,2020-02-18T12:33:11.642Z
1825,148,4,915,11,500000,-7,6.25,33:22.1,2020-02-18T12:33:22.137Z
1827,150,5,915,11,500000,-7,6.5,33:32.6,2020-02-18T12:33:32.616Z
1926,152,1,915,12,125000,-8,6.25,34:24.4,2020-02-18T12:34:24.375Z
1928,154,2,915,12,125000,-8,6.25,34:34.8,2020-02-18T12:34:34.836Z
1930,156,3,915,12,125000,-8,7,34:45.3,2020-02-18T12:34:45.295Z
1932,158,4,915,12,125000,-8,6.75,34:55.9,2020-02-18T12:34:55.859Z
1934,160,5,915,12,125000,-8,6.5,35:06.3,2020-02-18T12:35:06.332Z
2033,162,1,915,12,250000,-8,9,35:56.9,2020-02-18T12:35:56.880Z
2035,164,2,915,12,250000,-8,8.75,36:07.8,2020-02-18T12:36:07.761Z
2140,166,3,915,12,250000,-8,8.75,36:17.8,2020-02-18T12:36:17.813Z
2142,168,4,915,12,250000,-8,9.5,36:28.3,2020-02-18T12:36:28.279Z
2144,170,5,915,12,250000,-8,9,36:38.9,2020-02-18T12:36:38.853Z
2247,172,1,915,12,500000,-7,6.25,37:29.6,2020-02-18T12:37:29.605Z
2249,174,2,915,12,500000,-7,6.25,37:40.1,2020-02-18T12:37:40.117Z
2251,176,3,915,12,500000,-7,6.5,37:50.6,2020-02-18T12:37:50.584Z
2253,178,4,915,12,500000,-7,6.75,38:01.1,2020-02-18T12:38:01.057Z
2255,180,5,915,12,500000,-6,5.75,38:11.6,2020-02-18T12:38:11.630Z
2354,182,1,915,10,125000,-7,9.25,39:02.5,2020-02-18T12:39:02.513Z
2356,184,2,915,10,125000,-7,9.25,39:13.0,2020-02-18T12:39:13.042Z
2358,186,3,915,10,125000,-7,9.5,39:23.5,2020-02-18T12:39:23.521Z
2461,188,4,915,10,125000,-7,9.5,39:34.1,2020-02-18T12:39:34.089Z
2463,190,5,915,10,125000,-7,9.25,39:44.6,2020-02-18T12:39:44.578Z
2568,192,1,915,10,250000,-7,9.75,40:35.4,2020-02-18T12:40:35.440Z
2570,194,2,915,10,250000,-7,9.25,40:45.9,2020-02-18T12:40:45.896Z
2572,196,3,915,10,250000,-6,9.75,40:56.4,2020-02-18T12:40:56.444Z
2675,198,4,915,10,250000,-7,9.25,41:07.1,2020-02-18T12:41:07.064Z
2677,200,5,915,10,250000,-7,9.5,41:17.4,2020-02-18T12:41:17.443Z
2782,202,1,915,10,500000,-6,6.75,42:08.3,2020-02-18T12:42:08.307Z
2784,204,2,915,10,500000,-6,6.75,42:18.9,2020-02-18T12:42:18.864Z
2786,206,3,915,10,500000,-6,6,42:29.3,2020-02-18T12:42:29.339Z
2788,208,4,915,10,500000,-6,6.25,42:39.8,2020-02-18T12:42:39.808Z
2790,210,5,915,10,500000,-6,6.25,42:50.4,2020-02-18T12:42:50.408Z
2889,212,1,915,11,125000,-8,8.75,43:41.7,2020-02-18T12:43:41.729Z
2891,214,2,915,11,125000,-8,9,43:52.2,2020-02-18T12:43:52.243Z
2893,216,3,915,11,125000,-8,9,44:02.7,2020-02-18T12:44:02.720Z
2895,218,4,915,11,125000,-8,9.25,44:13.2,2020-02-18T12:44:13.206Z
2897,220,5,915,11,125000,-8,9,44:23.7,2020-02-18T12:44:23.690Z
2996,222,1,915,11,250000,-8,8.75,45:14.5,2020-02-18T12:45:14.465Z
2998,224,2,915,11,250000,-7,9.25,45:25.0,2020-02-18T12:45:24.996Z
3000,226,3,915,11,250000,-7,9.25,45:35.5,2020-02-18T12:45:35.473Z
3002,228,4,915,11,250000,-8,9,45:46.0,2020-02-18T12:45:45.961Z
3004,230,5,915,11,250000,-8,9.5,45:56.4,2020-02-18T12:45:56.447Z
3103,232,1,915,11,500000,-7,6.75,46:47.3,2020-02-18T12:46:47.307Z
3105,234,2,915,11,500000,-7,6.75,46:57.9,2020-02-18T12:46:57.869Z
3210,236,3,915,11,500000,-7,6,47:08.8,2020-02-18T12:47:08.801Z
3318,238,4,915,11,500000,-7,6.5,47:18.9,2020-02-18T12:47:18.879Z
3320,240,5,915,11,500000,-7,6.75,47:29.4,2020-02-18T12:47:29.355Z
3424,242,1,915,12,125000,-8,6,48:21.1,2020-02-18T12:48:21.119Z
3426,244,2,915,12,125000,-8,6.75,48:31.6,2020-02-18T12:48:31.573Z
3428,246,3,915,12,125000,-8,6.5,48:42.0,2020-02-18T12:48:42.044Z
3531,248,4,915,12,125000,-8,7.25,48:52.6,2020-02-18T12:48:52.624Z
3533,250,5,915,12,125000,-8,6.75,49:03.1,2020-02-18T12:49:03.084Z
3638,252,1,915,12,250000,-8,9,49:53.7,2020-02-18T12:49:53.653Z
3640,254,2,915,12,250000,-8,8.5,50:04.2,2020-02-18T12:50:04.219Z
3642,256,3,915,12,250000,-8,8.5,50:14.7,2020-02-18T12:50:14.695Z
3644,258,4,915,12,250000,-8,8.75,50:25.2,2020-02-18T12:50:25.207Z
3745,260,5,915,12,250000,-8,8.75,50:35.7,2020-02-18T12:50:35.685Z
3852,262,1,915,12,500000,-7,5.5,51:26.5,2020-02-18T12:51:26.468Z
3854,264,2,915,12,500000,-7,5.5,51:37.0,2020-02-18T12:51:36.986Z
3856,266,3,915,12,500000,-7,6.5,51:47.5,2020-02-18T12:51:47.477Z
3858,268,4,915,12,500000,-7,6.25,51:58.0,2020-02-18T12:51:57.965Z
