false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
107,11,1,915,10,250000,-7,9.25,12:31.0,2020-02-18T12:12:31.014Z
109,13,2,915,10,250000,-7,9,12:41.6,2020-02-18T12:12:41.555Z
111,15,3,915,10,250000,-7,8.25,12:52.0,2020-02-18T12:12:52.037Z
113,17,4,915,10,250000,-7,8.5,13:02.5,2020-02-18T12:13:02.513Z
115,19,5,915,10,250000,-8,8.5,13:13.0,2020-02-18T12:13:12.989Z
428,41,1,915,11,250000,-8,8.75,17:10.2,2020-02-18T12:17:10.193Z
430,43,2,915,11,250000,-7,9.25,17:20.6,2020-02-18T12:17:20.626Z
432,45,3,915,11,250000,-9,9.25,17:31.1,2020-02-18T12:17:31.101Z
535,47,4,915,11,250000,-8,9,17:41.6,2020-02-18T12:17:41.603Z
537,49,5,915,11,250000,-8,9,17:52.2,2020-02-18T12:17:52.157Z
856,71,1,915,12,250000,-8,8.75,21:49.3,2020-02-18T12:21:49.297Z
858,73,2,915,12,250000,-8,8.75,21:59.9,2020-02-18T12:21:59.859Z
860,75,3,915,12,250000,-8,8.75,22:10.3,2020-02-18T12:22:10.308Z
862,77,4,915,12,250000,-8,9.25,22:20.9,2020-02-18T12:22:20.853Z
864,79,5,915,12,250000,-9,9,22:31.3,2020-02-18T12:22:31.334Z
1284,102,1,915,10,250000,-7,9,26:38.6,2020-02-18T12:26:38.593Z
1286,104,2,915,10,250000,-6,9.25,26:49.1,2020-02-18T12:26:49.147Z
1288,106,3,915,10,250000,-6,9,26:59.6,2020-02-18T12:26:59.589Z
1290,108,4,915,10,250000,-6,9.5,27:10.1,2020-02-18T12:27:10.135Z
1292,110,5,915,10,250000,-7,9.75,27:20.6,2020-02-18T12:27:20.626Z
1712,132,1,915,11,250000,-7,9,31:17.7,2020-02-18T12:31:17.730Z
1714,134,2,915,11,250000,-8,9.25,31:28.2,2020-02-18T12:31:28.187Z
1716,136,3,915,11,250000,-8,9.75,31:38.7,2020-02-18T12:31:38.656Z
1718,138,4,915,11,250000,-8,9.5,31:49.2,2020-02-18T12:31:49.226Z
1720,140,5,915,11,250000,-8,9.25,31:59.7,2020-02-18T12:31:59.719Z
2033,162,1,915,12,250000,-8,9,35:56.9,2020-02-18T12:35:56.880Z
2035,164,2,915,12,250000,-8,8.75,36:07.8,2020-02-18T12:36:07.761Z
2140,166,3,915,12,250000,-8,8.75,36:17.8,2020-02-18T12:36:17.813Z
2142,168,4,915,12,250000,-8,9.5,36:28.3,2020-02-18T12:36:28.279Z
2144,170,5,915,12,250000,-8,9,36:38.9,2020-02-18T12:36:38.853Z
2568,192,1,915,10,250000,-7,9.75,40:35.4,2020-02-18T12:40:35.440Z
2570,194,2,915,10,250000,-7,9.25,40:45.9,2020-02-18T12:40:45.896Z
2572,196,3,915,10,250000,-6,9.75,40:56.4,2020-02-18T12:40:56.444Z
2675,198,4,915,10,250000,-7,9.25,41:07.1,2020-02-18T12:41:07.064Z
2677,200,5,915,10,250000,-7,9.5,41:17.4,2020-02-18T12:41:17.443Z
2996,222,1,915,11,250000,-8,8.75,45:14.5,2020-02-18T12:45:14.465Z
2998,224,2,915,11,250000,-7,9.25,45:25.0,2020-02-18T12:45:24.996Z
3000,226,3,915,11,250000,-7,9.25,45:35.5,2020-02-18T12:45:35.473Z
3002,228,4,915,11,250000,-8,9,45:46.0,2020-02-18T12:45:45.961Z
3004,230,5,915,11,250000,-8,9.5,45:56.4,2020-02-18T12:45:56.447Z
3638,252,1,915,12,250000,-8,9,49:53.7,2020-02-18T12:49:53.653Z
3640,254,2,915,12,250000,-8,8.5,50:04.2,2020-02-18T12:50:04.219Z
3642,256,3,915,12,250000,-8,8.5,50:14.7,2020-02-18T12:50:14.695Z
3644,258,4,915,12,250000,-8,8.75,50:25.2,2020-02-18T12:50:25.207Z
3745,260,5,915,12,250000,-8,8.75,50:35.7,2020-02-18T12:50:35.685Z
117,282,1,915,10,250000,-6,9.5,54:32.4,2020-02-18T12:54:32.384Z
119,284,2,915,10,250000,-7,9.75,54:42.9,2020-02-18T12:54:42.882Z
121,286,3,915,10,250000,-7,9.5,54:53.4,2020-02-18T12:54:53.362Z
123,288,4,915,10,250000,-6,9.5,55:03.8,2020-02-18T12:55:03.836Z
125,290,5,915,10,250000,-7,9.25,55:14.4,2020-02-18T12:55:14.411Z
434,312,1,915,11,250000,-8,9.25,59:11.5,2020-02-18T12:59:11.454Z
436,314,2,915,11,250000,-8,9,59:21.9,2020-02-18T12:59:21.945Z
438,316,3,915,11,250000,-8,9.5,59:32.5,2020-02-18T12:59:32.521Z
440,318,4,915,11,250000,-8,9.25,59:43.0,2020-02-18T12:59:43.004Z
442,320,5,915,11,250000,-8,9.5,59:53.5,2020-02-18T12:59:53.481Z
866,342,1,915,12,250000,-8,8.5,03:50.7,2020-02-18T13:03:50.737Z
868,344,2,915,12,250000,-8,8.75,04:01.2,2020-02-18T13:04:01.186Z
870,346,3,915,12,250000,-8,9,04:11.8,2020-02-18T13:04:11.757Z
872,348,4,915,12,250000,-8,9.25,04:22.2,2020-02-18T13:04:22.230Z
874,350,5,915,12,250000,-7,8.5,04:32.7,2020-02-18T13:04:32.730Z
1187,372,1,915,10,250000,-6,9.75,08:29.4,2020-02-18T13:08:29.356Z
1189,374,2,915,10,250000,-7,9.5,08:39.9,2020-02-18T13:08:39.917Z
1191,376,3,915,10,250000,-7,9.75,08:50.4,2020-02-18T13:08:50.398Z
1294,378,4,915,10,250000,-7,9.5,09:00.9,2020-02-18T13:09:00.884Z
1296,380,5,915,10,250000,-7,10,09:11.4,2020-02-18T13:09:11.369Z
1829,402,1,915,11,250000,-8,9.25,13:08.5,2020-02-18T13:13:08.504Z
1831,404,2,915,11,250000,-8,9.25,13:19.0,2020-02-18T13:13:18.988Z
1833,406,3,915,11,250000,-8,9.25,13:29.5,2020-02-18T13:13:29.472Z
1835,408,4,915,11,250000,-8,9.25,13:40.1,2020-02-18T13:13:40.060Z
1837,410,5,915,11,250000,-7,9.25,13:50.5,2020-02-18T13:13:50.537Z
2146,432,1,915,12,250000,-8,8.75,17:47.7,2020-02-18T13:17:47.729Z
2148,434,2,915,12,250000,-8,8,17:58.2,2020-02-18T13:17:58.244Z
2257,436,3,915,12,250000,-8,9.25,18:09.2,2020-02-18T13:18:09.176Z
2259,438,4,915,12,250000,-7,9,18:19.3,2020-02-18T13:18:19.267Z
2261,440,5,915,12,250000,-8,9.25,18:29.7,2020-02-18T13:18:29.697Z
2574,462,1,915,10,250000,-7,10,22:26.4,2020-02-18T13:22:26.433Z
2576,464,2,915,10,250000,-6,9.75,22:36.9,2020-02-18T13:22:36.896Z
2578,466,3,915,10,250000,-6,10,22:47.4,2020-02-18T13:22:47.424Z
2679,468,4,915,10,250000,-5,9.25,22:57.9,2020-02-18T13:22:57.914Z
2681,470,5,915,10,250000,-6,9.75,23:08.8,2020-02-18T13:23:08.833Z
3107,492,1,915,11,250000,-8,9.75,27:05.5,2020-02-18T13:27:05.499Z
3109,494,2,915,11,250000,-8,9.75,27:16.0,2020-02-18T13:27:16.022Z
3111,496,3,915,11,250000,-8,9.25,27:26.5,2020-02-18T13:27:26.469Z
3113,498,4,915,11,250000,-7,9.5,27:37.0,2020-02-18T13:27:37.039Z
3115,500,5,915,11,250000,-8,9.5,27:47.5,2020-02-18T13:27:47.511Z
3430,522,1,915,12,250000,-7,9.25,31:44.7,2020-02-18T13:31:44.727Z
3432,524,2,915,12,250000,-8,8.5,31:55.2,2020-02-18T13:31:55.155Z
3434,526,3,915,12,250000,-7,9,32:05.7,2020-02-18T13:32:05.734Z
3436,528,4,915,12,250000,-8,8.75,32:16.2,2020-02-18T13:32:16.213Z
3438,530,5,915,12,250000,-7,8.75,32:26.7,2020-02-18T13:32:26.697Z
3747,552,1,915,10,250000,-6,9.5,36:23.4,2020-02-18T13:36:23.420Z
3749,554,2,915,10,250000,-7,9.75,36:33.9,2020-02-18T13:36:33.874Z
3751,556,3,915,10,250000,-6,9.25,36:44.4,2020-02-18T13:36:44.427Z
3753,558,4,915,10,250000,-6,9.75,36:54.9,2020-02-18T13:36:54.884Z
3755,560,5,915,10,250000,-6,9.5,37:05.4,2020-02-18T13:37:05.363Z
234,581,1,915,11,250000,-7,9.25,41:02.5,2020-02-18T13:41:02.465Z
236,583,2,915,11,250000,-8,9.75,41:12.9,2020-02-18T13:41:12.915Z
238,585,3,915,11,250000,-7,9.5,41:23.5,2020-02-18T13:41:23.504Z
341,587,4,915,11,250000,-7,9.5,41:34.0,2020-02-18T13:41:34.023Z
343,589,5,915,11,250000,-7,9.25,41:44.5,2020-02-18T13:41:44.477Z
763,611,1,915,12,250000,-8,9.25,45:41.6,2020-02-18T13:45:41.640Z
765,613,2,915,12,250000,-8,8.5,45:52.2,2020-02-18T13:45:52.157Z
767,615,3,915,12,250000,-8,9.5,46:02.6,2020-02-18T13:46:02.638Z
769,617,4,915,12,250000,-8,9.25,46:13.2,2020-02-18T13:46:13.212Z
771,619,5,915,12,250000,-8,8.25,46:23.7,2020-02-18T13:46:23.682Z
1081,641,1,915,10,250000,-7,10,50:20.4,2020-02-18T13:50:20.358Z
1083,643,2,915,10,250000,-6,9.75,50:30.8,2020-02-18T13:50:30.797Z
1085,645,3,915,10,250000,-6,9.25,50:41.4,2020-02-18T13:50:41.377Z
1193,647,4,915,10,250000,-6,9.5,50:51.8,2020-02-18T13:50:51.849Z
1195,649,5,915,10,250000,-7,10,51:02.3,2020-02-18T13:51:02.337Z
1610,671,1,915,11,250000,-8,9.25,54:59.4,2020-02-18T13:54:59.442Z
