false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
107,11,1,915,10,250000,-7,9.25,12:31.0,2020-02-18T12:12:31.014Z
109,13,2,915,10,250000,-7,9.0,12:41.6,2020-02-18T12:12:41.555Z
111,15,3,915,10,250000,-7,8.25,12:52.0,2020-02-18T12:12:52.037Z
113,17,4,915,10,250000,-7,8.5,13:02.5,2020-02-18T12:13:02.513Z
115,19,5,915,10,250000,-8,8.5,13:13.0,2020-02-18T12:13:12.989Z
1284,102,1,915,10,250000,-7,9.0,26:38.6,2020-02-18T12:26:38.593Z
1286,104,2,915,10,250000,-6,9.25,26:49.1,2020-02-18T12:26:49.147Z
1288,106,3,915,10,250000,-6,9.0,26:59.6,2020-02-18T12:26:59.589Z
1290,108,4,915,10,250000,-6,9.5,27:10.1,2020-02-18T12:27:10.135Z
1292,110,5,915,10,250000,-7,9.75,27:20.6,2020-02-18T12:27:20.626Z
2568,192,1,915,10,250000,-7,9.75,40:35.4,2020-02-18T12:40:35.440Z
2570,194,2,915,10,250000,-7,9.25,40:45.9,2020-02-18T12:40:45.896Z
2572,196,3,915,10,250000,-6,9.75,40:56.4,2020-02-18T12:40:56.444Z
2675,198,4,915,10,250000,-7,9.25,41:07.1,2020-02-18T12:41:07.064Z
2677,200,5,915,10,250000,-7,9.5,41:17.4,2020-02-18T12:41:17.443Z
117,282,1,915,10,250000,-6,9.5,54:32.4,2020-02-18T12:54:32.384Z
119,284,2,915,10,250000,-7,9.75,54:42.9,2020-02-18T12:54:42.882Z
121,286,3,915,10,250000,-7,9.5,54:53.4,2020-02-18T12:54:53.362Z
123,288,4,915,10,250000,-6,9.5,55:03.8,2020-02-18T12:55:03.836Z
125,290,5,915,10,250000,-7,9.25,55:14.4,2020-02-18T12:55:14.411Z
1187,372,1,915,10,250000,-6,9.75,08:29.4,2020-02-18T13:08:29.356Z
1189,374,2,915,10,250000,-7,9.5,08:39.9,2020-02-18T13:08:39.917Z
1191,376,3,915,10,250000,-7,9.75,08:50.4,2020-02-18T13:08:50.398Z
1294,378,4,915,10,250000,-7,9.5,09:00.9,2020-02-18T13:09:00.884Z
1296,380,5,915,10,250000,-7,10.0,09:11.4,2020-02-18T13:09:11.369Z
2574,462,1,915,10,250000,-7,10.0,22:26.4,2020-02-18T13:22:26.433Z
2576,464,2,915,10,250000,-6,9.75,22:36.9,2020-02-18T13:22:36.896Z
2578,466,3,915,10,250000,-6,10.0,22:47.4,2020-02-18T13:22:47.424Z
2679,468,4,915,10,250000,-5,9.25,22:57.9,2020-02-18T13:22:57.914Z
2681,470,5,915,10,250000,-6,9.75,23:08.8,2020-02-18T13:23:08.833Z
3747,552,1,915,10,250000,-6,9.5,36:23.4,2020-02-18T13:36:23.420Z
3749,554,2,915,10,250000,-7,9.75,36:33.9,2020-02-18T13:36:33.874Z
3751,556,3,915,10,250000,-6,9.25,36:44.4,2020-02-18T13:36:44.427Z
3753,558,4,915,10,250000,-6,9.75,36:54.9,2020-02-18T13:36:54.884Z
3755,560,5,915,10,250000,-6,9.5,37:05.4,2020-02-18T13:37:05.363Z
1081,641,1,915,10,250000,-7,10.0,50:20.4,2020-02-18T13:50:20.358Z
1083,643,2,915,10,250000,-6,9.75,50:30.8,2020-02-18T13:50:30.797Z
1085,645,3,915,10,250000,-6,9.25,50:41.4,2020-02-18T13:50:41.377Z
1193,647,4,915,10,250000,-6,9.5,50:51.8,2020-02-18T13:50:51.849Z
1195,649,5,915,10,250000,-7,10.0,51:02.3,2020-02-18T13:51:02.337Z
2370,731,1,915,10,250000,-7,9.5,04:17.3,2020-02-18T14:04:17.348Z
2372,733,2,915,10,250000,-7,9.25,04:27.8,2020-02-18T14:04:27.815Z
2374,735,3,915,10,250000,-6,9.5,04:38.3,2020-02-18T14:04:38.297Z
2376,737,4,915,10,250000,-6,9.25,04:48.8,2020-02-18T14:04:48.765Z
2378,739,5,915,10,250000,-7,9.75,04:59.3,2020-02-18T14:04:59.338Z
3545,821,1,915,10,250000,-7,9.75,18:14.2,2020-02-18T14:18:14.244Z
3547,823,2,915,10,250000,-7,9.5,18:24.8,2020-02-18T14:18:24.822Z
3549,825,3,915,10,250000,-7,9.75,18:35.3,2020-02-18T14:18:35.308Z
3551,827,4,915,10,250000,-7,9.25,18:45.8,2020-02-18T14:18:45.788Z
3553,829,5,915,10,250000,-7,9.25,18:56.3,2020-02-18T14:18:56.271Z
886,882,1,915,10,250000,-6,9.5,32:11.3,2020-02-18T14:32:11.338Z
888,884,2,915,10,250000,-7,9.75,32:21.8,2020-02-18T14:32:21.838Z
993,886,3,915,10,250000,-7,9.5,32:32.3,2020-02-18T14:32:32.289Z
995,888,4,915,10,250000,-6,8.75,32:42.9,2020-02-18T14:32:42.860Z
997,890,5,915,10,250000,-7,9.5,32:53.3,2020-02-18T14:32:53.324Z
